,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
100,605.706969812,1,2143,3,0,0,23,0,25,1,0,1,0,0,0,0,9482,26,5863790672,2538,32,30,75062068704
101,612.604684103,1,2802,3,3,3,34,3,12,1,0,0,0,0,0,0,9687,33,6235387465,2559,47,49,102792724438
102,618.88013065,1,2664,17,0,3,21,5,36,0,0,0,0,0,0,0,9548,38,5832582696,2539,40,41,94180227686
103,623.967172637,1,2116,16,1,7,8,5,27,1,0,0,0,0,0,0,9332,36,5779549144,2291,39,38,76884873296
104,630.796284133,1,2849,14,6,4,7,2,27,2,0,1,0,0,0,0,11461,36,6954109968,2949,58,61,101764901972
105,636.216065578,1,2367,0,0,4,5,0,3,2,0,0,0,0,0,0,8174,19,5041362626,2284,33,32,81113953310
106,642.620110249,1,2669,0,0,0,6,0,6,1,0,0,0,0,0,0,11702,44,7158931374,2997,41,42,95730530588
107,649.64186145,1,2784,0,0,0,31,0,6,2,0,1,0,0,0,6,9243,37,5982690707,2335,33,32,105527897982
108,655.270691746,1,2251,0,0,0,43,0,11,2,0,0,0,0,0,0,10146,48,6344509918,2435,48,47,84646693750
109,660.627053115,1,2218,3,0,1,20,1,8,0,0,0,0,0,0,0,8171,22,4995407427,2148,28,28,79925567542
110,665.813648557,1,2381,3,3,1,7,1,11,1,0,0,0,0,0,0,8871,29,5413503631,2347,41,43,77100739042
111,672.465943983,1,2844,3,3,1,5,1,6,2,0,1,0,0,0,0,10749,34,6505838362,2859,61,59,101915943912
112,677.280221173,1,2034,2,0,2,22,2,18,4,0,0,0,0,0,0,7306,26,4531205276,1994,40,40,70946115596
113,682.546749624,1,2246,2,0,2,28,2,15,0,0,0,0,0,0,0,9006,22,5441291172,2135,26,28,80434111282
114,687.769555354,1,2163,12,6,8,11,8,24,2,0,0,0,0,0,0,8744,29,5384816802,2269,48,48,76378912732
115,693.498010046,1,2159,12,1,6,7,6,26,2,63,1,0,0,0,0,9053,37,5521393804,2129,33,33,84993433414
116,699.455847078,1,2433,12,0,6,12,6,26,2,0,0,0,0,0,0,10003,33,6230359264,2551,46,45,89390446440
117,705.615416063,1,2562,2,0,0,8,0,17,1,0,0,0,0,0,0,9036,35,5778606721,2450,39,38,92460025594
118,711.177077173,1,2208,0,0,0,8,0,12,1,0,0,0,0,0,0,9322,34,5866168464,2341,37,39,83046996844
119,716.487768187,1,2228,0,0,0,13,0,12,1,0,1,0,0,0,0,8759,27,5345658508,2168,38,38,79815350572
120,722.48011849,1,2404,0,3,0,13,0,12,2,0,0,0,0,0,0,9124,38,5695732463,2310,52,52,89540130356
121,728.703830673,1,2626,0,1,0,13,0,2,1,0,0,0,0,0,0,10215,43,6375634415,2796,37,35,93134558382
122,733.771763992,1,2190,0,0,0,8,0,2,1,0,1,0,0,0,0,8678,26,5268775001,2193,39,40,76177628002
123,740.117578745,1,2643,2,0,2,24,2,4,2,0,0,0,0,0,0,10863,34,6750039750,2601,41,42,94992398468
124,745.709596023,1,2368,2,6,2,24,2,14,2,0,0,0,0,0,0,8203,36,4847986310,2149,39,39,83758927670
125,751.635901738,1,2568,2,0,2,22,2,14,1,0,0,0,0,0,0,10582,41,6649695223,2955,62,62,88572569858
126,757.745496139,1,2602,0,0,0,22,0,12,1,0,1,0,0,0,0,9021,31,5561854789,2348,32,32,91818910766
